年龄	近视	散光	眼是否湿润	类
young	myope	no	眼干	不能佩戴
young	myope	no	眼湿润	软质
young	myope	yes	眼干	不能佩戴
young	myope	yes	眼湿润	硬质
young	hyper	no	眼干	不能佩戴
young	hyper	no	眼湿润	软质
young	hyper	yes	眼干	不能佩戴
young	hyper	yes	眼湿润	硬质
pre	myope	no	眼干	不能佩戴
pre	myope	no	眼湿润	软质
pre	myope	yes	眼干	不能佩戴
pre	myope	yes	眼湿润	硬质
pre	hyper	no	眼干	不能佩戴
pre	hyper	no	眼湿润	软质
pre	hyper	yes	眼干	不能佩戴
pre	hyper	yes	眼湿润	不能佩戴
presbyopic	myope	no	眼干	不能佩戴
presbyopic	myope	no	眼湿润	不能佩戴
presbyopic	myope	yes	眼干	不能佩戴
presbyopic	myope	yes	眼湿润	硬质
presbyopic	hyper	no	眼干	不能佩戴
presbyopic	hyper	no	眼湿润	软质
presbyopic	hyper	yes	眼干	不能佩戴
presbyopic	hyper	yes	眼湿润	不能佩戴
